ASIN,title,price,rating,review_count,url,prod_type
B077S9DZGK,"Moshi USB C to DisplayPort Cable 1.5m/5ft, Support 5K@60 Hz, 4K HDR, VESA Certified, Aluminum Housing, Thunderbolt 3 Compatible (Ensure Monitors Accept DisplayPort Signal)",None,4.3,86,https://www.amazon.com/Moshi-USB-C-DisplayPort-Cable-1-5m/dp/B077S9DZGK/ref=sr_1_5804?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5804,monitor
B07VDKS9LD,Pillarr USB-C Laptop Docking Station 12 in 1 with Power Delivery up to 60 Watts,24.49,3.3,24,https://www.amazon.com/Pillarr-Docking-Charging-Delivery-Aluminum/dp/B07VDKS9LD/ref=sr_1_5805?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5805,monitor
B07GL19R5J,S14 14In PRTBL DISP World Wide,None,4.6,3,https://www.amazon.com/HP-14IN-PRTBL-DISP-World/dp/B07GL19R5J/ref=sr_1_5806?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5806,monitor
B08HWB9V7K,"eSynic 2 Port KVM Switch, 4K HDMI KVM Switch with USB Port, 2 Computers Share 3 USB and One HD Monitor USB KVM Hotkey Switch Support Wireless Keyboard and Mouse USB Switch with HDMI & USB Cable",20.99,5.0,1,https://www.amazon.com/eSynic-Computers-Monitor-Wireless-Keyboard/dp/B08HWB9V7K/ref=sr_1_5807?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5807,monitor
B0773HSCBW,"TWOPAN USB Sliptter HUB 3.0 Adapter 4-Port USB A Adapter High Speed Ports Ultra Slim Mini USB Hub with an Extra USB C Adapter for Desktop, Computer Laptop/ T2-A",12.49,4.5,1535,https://www.amazon.com/TWOPAN-Adapter-Computer-Travellers-Choice/dp/B0773HSCBW/ref=sr_1_5808?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5808,monitor
B00127SU84,17IN L1710 LCD Monitor,None,Non,None,https://www.amazon.com/HEWLETT-PACKARD-GS917AA-ABA-Monitor/dp/B00127SU84/ref=sr_1_5809?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5809,monitor
B00FFCPTK4,Dell Adapter - Hdmi To Vga (332-2273),24.99,4.2,122,https://www.amazon.com/Dell-Adapter-Hdmi-Vga-332-2273/dp/B00FFCPTK4/ref=sr_1_5810?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5810,monitor
B08GNZZR6D,"40 PCS M4x10mm Flat Knurled Head Fully Threaded Thumb Screws, Bolts Fastener, Vesa Screws, Monitor Mount Screws for Works with Any TV and Monitor Mounting",10.59,Non,None,https://www.amazon.com/M4x10mm-Knurled-Threaded-Fastener-Mounting/dp/B08GNZZR6D/ref=sr_1_5811?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5811,monitor
B00E0E2DIE,"Lenovo ThinkPad USA Ultra Dock With 90W 2 Prong AC Adapter (40A20090US, Retail Packaged)",54.99,4.6,1799,https://www.amazon.com/Lenovo-USA-ThinkPad-40A20090US-Thinkpads/dp/B00E0E2DIE/ref=sr_1_5812?dchild=1&keywords=Monitor&qid=1617471739&s=pc&sr=1-5812,monitor
B08SW9DKPK,Dual Monitor Stand Riser for 2 Monitor 21 inch Desktop Riser Length and Angle Adjustable Desktop Stand for TV Laptop Printer Stand Storage Organizer for Monitor,26.99,Non,None,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg242_1?ie=UTF8&adId=A08674332ECHDYWLRHJ02&url=%2FMonitor-Desktop-Adjustable-Printer-Organizer%2Fdp%2FB08SW9DKPK%2Fref%3Dsr_1_5813_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471739%26s%3Dpc%26sr%3D1-5813-spons%26psc%3D1&qualifier=1617471739&id=7322315779813321&widgetName=sp_btf,monitor
