title,url,rating,review_count,price,asin,prod_type
"Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Blue",https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-Phone-Call/dp/B08MVGF24M/ref=sr_1_32?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-32,4.7,14608,None,B08MVGF24M,headphones
"Sleep Headphones Bluetooth 5.0 Sleeping Headphones Headband 10H Music - Soft Elastic Comfortable Headband Headphones, Gifts for Men Women Teenager, Father Mothers Day Birthday Gifts",https://www.amazon.com/Sleep-Headphones-Bluetooth-Headband-Comfortable/dp/B083ZVN4L9/ref=sr_1_33?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-33,4.4,3041,19.86,B083ZVN4L9,headphones
"AUKEY True Wireless Earbuds, Bluetooth 5 Headphones in Ear with Charging Case, Hands-Free Headset with Noise Cancellation Mic, Touch Control, 35 Hours Playback for iPhone and Android",https://www.amazon.com/AUKEY-Bluetooth-Headphones-Hands-Free-Cancellation/dp/B08TTF7H8X/ref=sr_1_34?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-34,4.3,28492,30.99,B08TTF7H8X,headphones
"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing Function for Children Boys Girls, Volume Limit Safe 85dB,94dB Headset for School, Travel",https://www.amazon.com/Mpow-Headphones-Over-Ear-Function-Cellphone/dp/B07PD9V78L/ref=sr_1_35?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-35,4.7,37512,25.99,B07PD9V78L,headphones
"Kurdene Wireless Earbuds,Bluetooth Earbuds with Charging Case Bass Sounds IPX8 Waterproof Sports Headphones with Mic Touch Control 24H Playtime -Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A06382662GUD9STOK3ESK&url=%2FWireless-Bluetooth-Waterproof-Headphones-Android-Black%2Fdp%2FB085VX9JY7%2Fref%3Dsr_1_36_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473781%26s%3Delectronics%26sr%3D1-36-spons%26psc%3D1%26smid%3DA3531PJZXY3VJY&qualifier=1617473781&id=4923824192901200&widgetName=sp_mtf,4.3,20528,22.99,B085VX9JY7,headphones
"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Pearl Pink)",https://www.amazon.com/LORELEI-X6-Headphones-Microphone-Lightweight/dp/B083P1TSK7/ref=sr_1_37?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-37,4.4,2792,14.99,B083P1TSK7,headphones
"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone-Rose Gold",https://www.amazon.com/Bluetooth-Headphones-Microphone-Lightweight-Cellphone/dp/B07ZBJPYRK/ref=sr_1_38?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-38,4.4,6008,21.24,B07ZBJPYRK,headphones
"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound, Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Black",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Cellphones/dp/B087R2R8S6/ref=sr_1_39?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-39,4.7,5914,39.99,B087R2R8S6,headphones
"Active Noise Cancelling Headphones HROEENOI JZ02 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic HiFi Stereo Sound, Deep Bass, 30H Playtime, Soft Earpads for Travel Home Class Black",https://www.amazon.com/Cancelling-Headphones-HROEENOI-JZ02-Bluetooth/dp/B08T67XB4T/ref=sr_1_40?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-40,4.6,213,39.99,B08T67XB4T,headphones
"Jabra Evolve2 85 UC Wireless Headphones with Link380a, Stereo, Black – Wireless Bluetooth Headset for Calls and Music, 37 Hours of Battery Life, Advanced Noise Cancelling Headphones",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A10434643F6KSNX9Q2HVL&url=%2FJabra-Evolve2-Wireless-Headphones-Link380a%2Fdp%2FB08B8XVBM6%2Fref%3Dsr_1_41_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473781%26s%3Delectronics%26sr%3D1-41-spons%26psc%3D1&qualifier=1617473781&id=4923824192901200&widgetName=sp_mtf,4.0,276,290.32,B08B8XVBM6,headphones
